Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0045944~positive regulation of transcription from RNA polymerase II promoter	33	15.348837209302326	3.880164564921772E-7	ONECUT2, PRDM4, KMT2C, ZNF292, GLIS3, CREM, NR3C1, DCAF6, ELK4, MECP2, ZNF827, MYB, PLAGL2, CAMTA1, ZNF521, NELFE, MED1, RBM14, AUTS2, FOXJ3, EN2, VEZF1, ESRRG, SOX10, SKI, ADCYAP1, NFIB, HAND2, IRF2, PGR, PFKM, HOXD8, NFE2L2	195	1204	19357	2.7207641196013292	5.039064712739627E-4	5.03645360526846E-4	5.017052782443851E-4
GOTERM_CC_DIRECT	GO:0005634~nucleus	94	43.72093023255814	6.814208059744932E-7	PRDM8, TENM1, DYRK4, BTG1, ONECUT2, PRDM4, ZC3H4, FMR1, CTNND2, ZNF292, NR3C1, BACH2, DCAF6, CCAR1, ELK4, MECP2, FUNDC2, MYB, EXO5, SUPT20H, CLIC1, ZNF521, MAP3K7, NELFE, MED1, ZNF440, SERF1A, RBM14, SERF1B, USP45, EN2, CTDSPL, VEZF1, TSPY2, SOX10, RHOA, ADAM19, STX1B, LATS2, RBP5, HAND2, IRF2, TOP1, ALDOA, ASPA, ASF1A, DNMT1, TSHZ3, ZBTB46, CTBP1, KMT2C, GLIS3, CREM, GSTT2, NREP, MAPK8, ZNF827, RSBN1L, DPH3, PLAGL2, CAMTA1, ZNF501, E2F6, N4BP1, ZNF101, MBD4, URGCP, UBE2B, DTNB, AUTS2, HSPA1L, WTAP, MBD2, FOXJ3, ZNF77, HIPK1, MLH1, SKI, PSMC5, XPOT, NFIB, PRKRA, CCNG1, EIF3E, CALM1, CPEB2, PFKM, HOXD8, FERMT2, CDKN3, NFE2L2, LDHAL6B	207	5991	20587	1.560455014244394	2.1053693478312319E-4	2.105590290461184E-4	2.0919618743416943E-4
GOTERM_MF_DIRECT	GO:0001228~transcriptional activator activity, RNA polymerase II transcription regulatory region sequence-specific binding	19	8.837209302325581	3.5166360959887095E-6	PRDM4, ONECUT2, ZNF292, FOXJ3, GLIS3, VEZF1, ESRRG, NR3C1, SOX10, ELK4, NFIB, HAND2, IRF2, MYB, PLAGL2, PGR, ZNF521, HOXD8, NFE2L2	202	476	18913	3.7372805557866715	0.001261677992521637	0.0012624723584599468	0.0011956562726361613
REACTOME_PATHWAY	R-HSA-9022535~Loss of phosphorylation of MECP2 at T308	4	1.8604651162790697	3.044826563612833E-5	MECP2, CALM1	129	6	10946	56.56847545219638	0.024153841560482503	0.024480405571447175	0.024297715977630405
GOTERM_BP_DIRECT	GO:0006357~regulation of transcription from RNA polymerase II promoter	36	16.74418604651163	3.674814133643441E-5	ENY2, ONECUT2, TSHZ3, PRDM4, ZBTB46, CTBP1, ZNF292, GLIS3, CREM, NR3C1, BACH2, ELK4, MNT, PLAGL2, CAMTA1, SUPT20H, ZNF501, ZNF521, E2F6, ZNF101, MED1, ZNF440, FOXJ3, EN2, VEZF1, ESRRG, ZNF77, SOX10, RHOA, PSMC5, NFIB, HAND2, IRF2, PGR, HOXD8, NFE2L2	195	1711	19357	2.088603156049094	0.04661523188083372	0.023849543727345934	0.023757673374004848
GOTERM_CC_DIRECT	GO:0030426~growth cone	9	4.186046511627907	7.657764260719522E-5	TSHZ3, AUTS2, FMR1, CALM1, MAP3K12	207	138	20587	6.486137366099558	0.023385614836027635	0.011831245782811662	0.011754668140204467
KEGG_PATHWAY	hsa05418:Fluid shear stress and atherosclerosis	9	4.186046511627907	9.67270698207819E-5	MAPK8, GSTT2, CALM1, GSTT2B, MAP3K7, RHOA, NFE2L2	87	139	8205	6.106425204663855	0.021340185864368366	0.021570136570034364	0.020602865871826543
GOTERM_BP_DIRECT	GO:0000122~negative regulation of transcription from RNA polymerase II promoter	24	11.162790697674419	1.3823074919802383E-4	ZNF440, MED1, LEFTY1, DNMT1, ZBTB46, CTBP1, MBD2, GLIS3, CREM, ZNF77, NR3C1, SOX10, DKK1, BACH2, SKI, MECP2, ELK4, MNT, NFIB, IRF2, MYB, E2F6, HOXD8, NELFE	195	983	19357	2.423601220752798	0.16437401705647492	0.05980783748634498	0.05957745290434827
GOTERM_MF_DIRECT	GO:0003682~chromatin binding	16	7.441860465116279	1.4758615941363215E-4	MED1, ENY2, DNMT1, AUTS2, TSHZ3, CTBP1, FMR1, MBD2, MLH1, TSPY2, MECP2, ELK4, MNT, TOP1, ASF1A, NELFE	202	467	18913	3.207835987024827	0.05160798230201846	0.020032501020174304	0.018972285088744465
GOTERM_CC_DIRECT	GO:0000785~chromatin	25	11.627906976744185	1.4918130264580836E-4	ONECUT2, TSHZ3, ZBTB46, CREM, NR3C1, BACH2, ELK4, MNT, ZNF827, E2F6, UBE2B, MBD2, FOXJ3, EN2, ESRRG, TSPY2, SOX10, NFIB, HAND2, IRF2, PGR, EIF3E, HOXD8, ASF1A, NFE2L2	207	1054	20587	2.3589683652797255	0.0450539777151685	0.015365674172518261	0.01526621997075439
GOTERM_CC_DIRECT	GO:0005654~nucleoplasm	62	28.837209302325583	2.132472229485424E-4	PRDM8, BTG1, ONECUT2, ZC3H4, FMR1, NR3C1, BACH2, DCAF6, CCAR1, ELK4, MECP2, RPS16, MYB, EXO5, ZNF521, NELFE, MED1, RBM14, USP45, EN2, VEZF1, PPHLN1, SOX10, STX1B, IRF2, PGR, TOP1, ASF1A, TSEN34, ENY2, DNMT1, TSHZ3, CTBP1, KMT2C, GSTT2, MAPK8, MNT, DPH3, E2F6, GSTT2B, RBMY1A1, MBD4, UBE2B, HSPA1L, WTAP, NICN1, MBD2, ESRRG, HIPK1, MLH1, SKI, PSMC5, XPOT, NFIB, PRKRA, CCNG1, NPIPB4, EIF3E, CALM1, FERMT2, NFE2L2, NPIPB5	207	3962	20587	1.5563237227087279	0.06377590992093551	0.0164733479727749	0.016366724361300627
GOTERM_MF_DIRECT	GO:0000981~RNA polymerase II transcription factor activity, sequence-specific DNA binding	29	13.488372093023257	2.1978156893835178E-4	ONECUT2, TSHZ3, PRDM4, ZBTB46, ZNF292, GLIS3, CREM, NR3C1, BACH2, ELK4, MNT, MYB, PLAGL2, E2F6, ZNF101, ZNF440, FOXJ3, EN2, VEZF1, ESRRG, ZNF77, SOX10, SKI, NFIB, HAND2, IRF2, PGR, HOXD8, NFE2L2	202	1281	18913	2.119619573198537	0.07587714394116618	0.020032501020174304	0.018972285088744465
GOTERM_MF_DIRECT	GO:0035197~siRNA binding	4	1.8604651162790697	2.424008114559984E-4	MECP2, PRKRA, FMR1, MBD2	202	12	18913	31.209570957095707	0.08335264098662865	0.020032501020174304	0.018972285088744465
GOTERM_BP_DIRECT	GO:0090151~establishment of protein localization to mitochondrial membrane	3	1.3953488372093024	2.9781391159379976E-4	CALM1	195	3	19357	99.26666666666668	0.3208531417894084	0.08633971482674861	0.086007127327416
REACTOME_PATHWAY	R-HSA-451306~Ionotropic activity of kainate receptors	4	1.8604651162790697	3.181250512146825E-4	GRIK3, CALM1	129	12	10946	28.28423772609819	0.225467035683525	0.0520002632999869	0.05161220163356909
REACTOME_PATHWAY	R-HSA-451308~Activation of Ca-permeable Kainate Receptor	4	1.8604651162790697	3.181250512146825E-4	GRIK3, CALM1	129	12	10946	28.28423772609819	0.225467035683525	0.0520002632999869	0.05161220163356909
GOTERM_MF_DIRECT	GO:0019904~protein domain specific binding	11	5.116279069767442	3.2241402476333513E-4	SKI, MECP2, CTBP1, MBD2, TOP1, CALM1, ZNF521, RHOA, NFE2L2	202	247	18913	4.169699763498617	0.10931575592192755	0.020032501020174304	0.018972285088744465
GOTERM_BP_DIRECT	GO:0005513~detection of calcium ion	4	1.8604651162790697	3.3258749933262177E-4	KCNMB2, CALM1	195	14	19357	28.361904761904764	0.35085750249001635	0.08633971482674861	0.086007127327416
GOTERM_MF_DIRECT	GO:0031997~N-terminal myristoylation domain binding	3	1.3953488372093024	3.3480503097784353E-4	CALM1	202	3	18913	93.62871287128712	0.11327034733706653	0.020032501020174304	0.018972285088744465
KEGG_PATHWAY	hsa05417:Lipid and atherosclerosis	10	4.651162790697675	3.938093029953978E-4	IFNA5, RAP1B, MAPK8, HSPA1L, CALM1, MAP3K7, RHOA, NFE2L2	87	215	8205	4.386527666399358	0.08408963250194645	0.04390973728398686	0.041940690769009865
REACTOME_PATHWAY	R-HSA-425561~Sodium/Calcium exchangers	4	1.8604651162790697	4.100357373223392E-4	SLC24A2, CALM1	129	13	10946	26.108527131782946	0.28059170651036625	0.0520002632999869	0.05161220163356909
GOTERM_MF_DIRECT	GO:0000977~RNA polymerase II regulatory region sequence-specific DNA binding	13	6.046511627906977	5.028719737103118E-4	ZNF440, ZBTB46, GLIS3, CREM, VEZF1, ZNF77, NR3C1, MNT, HAND2, IRF2, E2F6, HOXD8, ZNF101	202	361	18913	3.371671100628068	0.16521113783237595	0.025790148366000278	0.024425210151643714
REACTOME_PATHWAY	R-HSA-9005891~Loss of function of MECP2 in Rett syndrome	4	1.8604651162790697	5.174155552237502E-4	MECP2, CALM1	129	14	10946	24.24363233665559	0.34005066829843134	0.0520002632999869	0.05161220163356909
REACTOME_PATHWAY	R-HSA-9697154~Disorders of Nervous System Development	4	1.8604651162790697	5.174155552237502E-4	MECP2, CALM1	129	14	10946	24.24363233665559	0.34005066829843134	0.0520002632999869	0.05161220163356909
REACTOME_PATHWAY	R-HSA-9005895~Pervasive developmental disorders	4	1.8604651162790697	5.174155552237502E-4	MECP2, CALM1	129	14	10946	24.24363233665559	0.34005066829843134	0.0520002632999869	0.05161220163356909
REACTOME_PATHWAY	R-HSA-9675151~Disorders of Developmental Biology	4	1.8604651162790697	5.174155552237502E-4	MECP2, CALM1	129	14	10946	24.24363233665559	0.34005066829843134	0.0520002632999869	0.05161220163356909
GOTERM_BP_DIRECT	GO:0071902~positive regulation of protein serine/threonine kinase activity	5	2.3255813953488373	8.128402618268479E-4	MTCP1, CALM1, RHOA	195	42	19357	11.817460317460316	0.6522630109285981	0.15894688435384371	0.15833460821996911
GOTERM_MF_DIRECT	GO:0003677~DNA binding	28	13.023255813953488	8.45871739019489E-4	PRDM8, DNMT1, TSHZ3, PRDM4, KMT2C, FMR1, ZNF292, CREM, NR3C1, BACH2, ELK4, MECP2, ZNF827, MYB, EXO5, CAMTA1, MED1, MBD4, MBD2, HIPK1, SOX10, NFIB, IRF2, PGR, TOP1, HOXD8, NFE2L2	202	1325	18913	1.9785690267139924	0.2619889332139066	0.037958494288499574	0.035949548908328285
GOTERM_BP_DIRECT	GO:1905913~negative regulation of calcium ion export from cell	3	1.3953488372093024	9.79641814199345E-4	CALM1	195	5	19357	59.56	0.7200595698577686	0.15894688435384371	0.15833460821996911
GOTERM_BP_DIRECT	GO:0051343~positive regulation of cyclic-nucleotide phosphodiesterase activity	3	1.3953488372093024	9.79641814199345E-4	CALM1	195	5	19357	59.56	0.7200595698577686	0.15894688435384371	0.15833460821996911
GOTERM_MF_DIRECT	GO:0031800~type 3 metabotropic glutamate receptor binding	3	1.3953488372093024	0.0011004329565802858	CALM1	202	5	18913	56.17722772277227	0.32650382135070355	0.04389504793470251	0.04157191169303302
GOTERM_CC_DIRECT	GO:0043204~perikaryon	8	3.7209302325581395	0.001207313634017649	ADCYAP1, RCVRN, FMR1, CTNND2, GRIK3, TOP1	207	161	20587	4.941818945599664	0.311531211531227	0.06809521638985863	0.06765447065270745
GOTERM_CC_DIRECT	GO:0008076~voltage-gated potassium channel complex	6	2.7906976744186047	0.0013222372114535658	KCNE2, KCNMB2, KCNMA1, CALM1	207	81	20587	7.366970835569869	0.3355805656987694	0.06809521638985863	0.06765447065270745
KEGG_PATHWAY	hsa04722:Neurotrophin signaling pathway	7	3.255813953488372	0.001499681924465687	RAP1B, MAPK8, PRDM4, CALM1, RHOA	87	119	8205	5.547667342799189	0.2844330323504989	0.11147635638528273	0.10647741663706378
GOTERM_MF_DIRECT	GO:0010856~adenylate cyclase activator activity	3	1.3953488372093024	0.001639098959640551	CALM1	202	6	18913	46.81435643564356	0.44507333382400494	0.05884365265109578	0.05572936462777873
GOTERM_BP_DIRECT	GO:0051571~positive regulation of histone H3-K4 methylation	4	1.8604651162790697	0.0019377856124630952	DNMT1, AUTS2, MYB, NELFE	195	25	19357	15.882666666666667	0.9195102592562768	0.25508396072152706	0.2541013568666675
REACTOME_PATHWAY	R-HSA-111957~Cam-PDE 1 activation	3	1.3953488372093024	0.0019736350003174983	CALM1	129	6	10946	42.42635658914728	0.7953378898710692	0.16437826085643165	0.16315155741720452
GOTERM_BP_DIRECT	GO:1901020~negative regulation of calcium ion transmembrane transporter activity	3	1.3953488372093024	0.002030202706730746	CALM1	195	7	19357	42.542857142857144	0.92863259339547	0.25508396072152706	0.2541013568666675
REACTOME_PATHWAY	R-HSA-438066~Unblocking of NMDA receptors, glutamate binding and activation	4	1.8604651162790697	0.0020445057320451696	GRIA2, CALM1	129	22	10946	15.427766032417194	0.8066819782936918	0.16437826085643165	0.16315155741720452
GOTERM_BP_DIRECT	GO:0071805~potassium ion transmembrane transport	7	3.255813953488372	0.002161728480690907	SLC24A2, KCNE2, KCNH5, KCNH7, KCNMB2, KCNMA1, CALM1	195	132	19357	5.264141414141413	0.9398626903151721	0.25508396072152706	0.2541013568666675
REACTOME_PATHWAY	R-HSA-9620244~Long-term potentiation	4	1.8604651162790697	0.0026416797379656127	GRIA2, CALM1	129	24	10946	14.142118863049095	0.8804565804669859	0.19308277357494116	0.19164185735423264
GOTERM_MF_DIRECT	GO:0003700~transcription factor activity, sequence-specific DNA binding	15	6.976744186046512	0.0026423217996336236	FOXJ3, CREM, ESRRG, NR3C1, SOX10, BACH2, MECP2, ELK4, MNT, NFIB, IRF2, PLAGL2, PGR, ZNF501, NFE2L2	202	558	18913	2.5169008836367506	0.613200567580886	0.08050520746845082	0.07624448618181971
GOTERM_BP_DIRECT	GO:1901841~regulation of high voltage-gated calcium channel activity	3	1.3953488372093024	0.0026891064672380865	CALM1	195	8	19357	37.225	0.9697377574246451	0.2695740037423002	0.2685355830807351
GOTERM_MF_DIRECT	GO:1990837~sequence-specific double-stranded DNA binding	15	6.976744186046512	0.0026909818652406958	PRDM4, ONECUT2, FOXJ3, EN2, CREM, ESRRG, NR3C1, SOX10, BACH2, ELK4, NFIB, HAND2, IRF2, ZNF501, HOXD8	202	559	18913	2.5123983775837333	0.6199166295993592	0.08050520746845082	0.07624448618181971
GOTERM_BP_DIRECT	GO:0035307~positive regulation of protein dephosphorylation	4	1.8604651162790697	0.002699893720069262	CAMTA1, CALM1	195	28	19357	14.180952380952382	0.970159983886424	0.2695740037423002	0.2685355830807351
KEGG_PATHWAY	hsa04270:Vascular smooth muscle contraction	7	3.255813953488372	0.0027387496277719733	JMJD7-PLA2G4B, KCNMB2, KCNMA1, CALM1, RHOA	87	134	8205	4.926659804426145	0.4575064216139543	0.11220930854339943	0.10717750098539945
