Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_DIRECT	GO:0001228~transcriptional activator activity, RNA polymerase II transcription regulatory region sequence-specific binding	13	11.504424778761061	1.010560286383521E-4	PRDM4, ONECUT2, ZNF292, GLIS3, VEZF1, ESRRG, ELK4, NFIB, HAND2, IRF2, PLAGL2, PGR, HOXD8	108	404	13228	3.941235790245691	0.022383384282936847	0.01624182417036876	0.01587928345228017
GOTERM_BP_DIRECT	GO:0045944~positive regulation of transcription from RNA polymerase II promoter	21	18.58407079646018	1.1006469893779562E-4	PRDM4, AUTS2, ONECUT2, KMT2C, ZNF292, GLIS3, CREM, VEZF1, ESRRG, DCAF6, SKI, MECP2, ELK4, ZNF827, NFIB, HAND2, IRF2, PLAGL2, PGR, HOXD8, NELFE	102	1025	12926	2.5963271162123385	0.0782233775795661	0.08133781251503096	0.08133781251503096
GOTERM_MF_DIRECT	GO:0003677~DNA binding	21	18.58407079646018	1.4501628723543534E-4	PRDM8, MBD4, DNMT1, PRDM4, KMT2C, FMR1, ZNF292, MBD2, CREM, HIPK1, BACH2, MECP2, ELK4, ZNF827, NFIB, IRF2, EXO5, PGR, TOP1, HOXD8	108	1007	13228	2.5542314906763766	0.031964001532450825	0.01624182417036876	0.01587928345228017
GOTERM_CC_DIRECT	GO:0005634~nucleus	55	48.67256637168141	1.6302457494644031E-4	PRDM8, TENM1, DYRK4, BTG1, ONECUT2, PRDM4, FMR1, ZNF292, BACH2, DCAF6, CCAR1, ELK4, MECP2, EXO5, MAP3K7, NELFE, ZNF440, SERF1A, SERF1B, USP45, VEZF1, ADAM19, LATS2, HAND2, IRF2, TOP1, ASF1A, DNMT1, KMT2C, GLIS3, CREM, MAPK8, ZNF827, RSBN1L, DPH3, PLAGL2, ZNF501, ZNF101, MBD4, UBE2B, AUTS2, WTAP, MBD2, ZNF77, HIPK1, MLH1, SKI, XPOT, NFIB, EIF3E, CPEB2, HOXD8, FERMT2, CDKN3, LDHAL6B	107	4556	13558	1.5296456146972668	0.031134370341596496	0.03162676753960942	0.03162676753960942
GOTERM_BP_DIRECT	GO:0007179~transforming growth factor beta receptor signaling pathway	6	5.3097345132743365	4.4683661580864365E-4	SKI, LEFTY1, ONECUT2, PTPRK, MAP3K7, FERMT2	102	82	12926	9.272596843615494	0.2816030395541028	0.16510612954129383	0.16510612954129383
GOTERM_MF_DIRECT	GO:0008327~methyl-CpG binding	4	3.5398230088495577	8.100261225180295E-4	MECP2, DNMT1, MBD2	108	23	13228	21.30112721417069	0.16599791705678113	0.04571018683766382	0.04468987016718025
GOTERM_MF_DIRECT	GO:0000981~RNA polymerase II transcription factor activity, sequence-specific DNA binding	19	16.8141592920354	8.162533363868539E-4	ZNF440, PRDM4, ONECUT2, ZNF292, GLIS3, CREM, VEZF1, ESRRG, ZNF77, BACH2, SKI, ELK4, NFIB, HAND2, IRF2, PLAGL2, PGR, HOXD8, ZNF101	108	979	13228	2.3770665456058713	0.1671613975647258	0.04571018683766382	0.04468987016718025
GOTERM_MF_DIRECT	GO:0000977~RNA polymerase II regulatory region sequence-specific DNA binding	9	7.964601769911504	0.0017002200100857078	ZNF440, HAND2, IRF2, GLIS3, CREM, VEZF1, ZNF77, HOXD8, ZNF101	108	274	13228	4.023114355231144	0.31694057237242124	0.0761698564518397	0.074469636441754
GOTERM_BP_DIRECT	GO:0000122~negative regulation of transcription from RNA polymerase II promoter	16	14.15929203539823	0.0021446469697561314	ZNF440, LEFTY1, DNMT1, MBD2, GLIS3, CREM, ZNF77, DKK1, BACH2, SKI, MECP2, ELK4, NFIB, IRF2, HOXD8, NELFE	102	840	12926	2.4138188608776843	0.7958178953896163	0.5282980368832604	0.5282980368832604
GOTERM_MF_DIRECT	GO:0035197~siRNA binding	3	2.6548672566371683	0.0027960753765249946	MECP2, FMR1, MBD2	108	10	13228	36.74444444444444	0.46591385893380055	0.10438681405693313	0.10205675124316231
