Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
REACTOME_PATHWAY	R-HSA-451306~Ionotropic activity of kainate receptors	4	3.9215686274509802	6.082744260101978E-5	GRIK3, CALM1	62	11	8251	48.39296187683284	0.030251765073093462	0.013607419927309834	0.012128352543906592
REACTOME_PATHWAY	R-HSA-451308~Activation of Ca-permeable Kainate Receptor	4	3.9215686274509802	6.082744260101978E-5	GRIK3, CALM1	62	11	8251	48.39296187683284	0.030251765073093462	0.013607419927309834	0.012128352543906592
REACTOME_PATHWAY	R-HSA-425561~Sodium/Calcium exchangers	4	3.9215686274509802	8.067640273108597E-5	SLC24A2, CALM1	62	12	8251	44.36021505376344	0.03992438011581356	0.013607419927309834	0.012128352543906592
GOTERM_BP_DIRECT	GO:0071902~positive regulation of protein serine/threonine kinase activity	5	4.901960784313726	1.1891455950373743E-4	MTCP1, CALM1, RHOA	93	36	12926	19.304062126642773	0.0815143205979203	0.0531720267976729	0.05205496741116716
GOTERM_MF_DIRECT	GO:0031800~type 3 metabotropic glutamate receptor binding	3	2.941176470588235	1.4602924235225526E-4	CALM1	94	3	13228	140.72340425531914	0.03020287630398799	0.015333070446986802	0.014748953477577782
GOTERM_MF_DIRECT	GO:0031997~N-terminal myristoylation domain binding	3	2.941176470588235	1.4602924235225526E-4	CALM1	94	3	13228	140.72340425531914	0.03020287630398799	0.015333070446986802	0.014748953477577782
GOTERM_BP_DIRECT	GO:0090151~establishment of protein localization to mitochondrial membrane	3	2.941176470588235	1.496355737108788E-4	CALM1	93	3	12926	138.98924731182794	0.10147202742313699	0.0531720267976729	0.05205496741116716
KEGG_PATHWAY	hsa05418:Fluid shear stress and atherosclerosis	7	6.862745098039216	2.0710437742234967E-4	GSTT2, CALM1, GSTT2B, RHOA, NFE2L2	45	118	5935	7.823917137476459	0.031394022041246195	0.022384280246196472	0.02064005061662272
KEGG_PATHWAY	hsa05417:Lipid and atherosclerosis	8	7.8431372549019605	2.9070493826229184E-4	IFNA5, RAP1B, HSPA1L, CALM1, RHOA, NFE2L2	45	178	5935	5.927590511860175	0.043787460487367924	0.022384280246196472	0.02064005061662272
GOTERM_BP_DIRECT	GO:1905913~negative regulation of calcium ion export from cell	3	2.941176470588235	2.978825030681955E-4	CALM1	93	4	12926	104.24193548387098	0.1918581818860836	0.0531720267976729	0.05205496741116716
GOTERM_BP_DIRECT	GO:0051343~positive regulation of cyclic-nucleotide phosphodiesterase activity	3	2.941176470588235	2.978825030681955E-4	CALM1	93	4	12926	104.24193548387098	0.1918581818860836	0.0531720267976729	0.05205496741116716
KEGG_PATHWAY	hsa04744:Phototransduction	4	3.9215686274509802	4.60708149416494E-4	RCVRN, CALM1	45	21	5935	25.121693121693124	0.06850588193350926	0.023649685003380026	0.02180685240571405
REACTOME_PATHWAY	R-HSA-438066~Unblocking of NMDA receptors, glutamate binding and activation	4	3.9215686274509802	4.6513260714235526E-4	GRIA2, CALM1	62	21	8251	25.34869431643625	0.20938694185961404	0.05719624506888969	0.05097926190922777
GOTERM_MF_DIRECT	GO:0010856~adenylate cyclase activator activity	3	2.941176470588235	4.823123464834293E-4	CALM1	94	5	13228	84.43404255319147	0.09634716665853649	0.03376186425384005	0.0324756979965509
GOTERM_BP_DIRECT	GO:0035307~positive regulation of protein dephosphorylation	4	3.9215686274509802	5.573667123970767E-4	CAMTA1, CALM1	93	23	12926	24.17204301075269	0.32875984555440807	0.07959196653030255	0.07791986639311133
